,代码,名称
0,300157,恒泰艾普
1,300483,首华燃气
2,300204,舒泰神
3,300397,天和防务
4,300084,海默科技
5,300722,新余国科
6,300164,通源石油
7,300878,维康药业
8,688221,前沿生物-U
9,300191,潜能恒信
10,300581,晨曦航空
11,300064,*ST金刚
12,300008,天海防务
13,600575,淮河能源
14,17,深中华A
15,2781,奇信股份
16,659,珠海中富
17,595,宝塔实业
18,2644,佛慈制药
19,2231,奥维通信
20,2207,准油股份
21,2811,郑中设计
22,2354,天娱数科
23,815,美利云
24,600860,京城股份
25,601069,西部黄金
26,603215,比依股份
27,3007,直真科技
28,2155,湖南黄金
29,1313,粤海饲料
30,603912,佳力图
31,603122,合富中国
32,600396,金山股份
33,2828,贝肯能源
34,2716,金贵银业
35,603132,金徽股份
36,605580,恒盛能源
37,2725,跃岭股份
38,2822,中装建设
39,605122,四方新材
40,2825,纳尔股份
41,600996,贵广网络
42,601789,宁波建工
43,2665,首航高科
44,2629,仁智股份
45,600982,宁波能源
46,554,泰山石油
47,600824,益民集团
48,871642,通易航天
49,2758,浙农股份
50,600557,康缘药业
51,300159,新研股份
52,301213,观想科技
53,300922,天秦装备
54,300108,吉药控股
55,600759,洲际油气
56,688,国城矿业
57,601808,中海油服
58,831010,凯添燃气
59,600916,中国黄金
60,300521,爱司凯
61,603393,新天然气
62,301158,德石股份
63,603619,中曼石油
64,968,蓝焰控股
65,605169,洪通燃气
66,600489,中金黄金
67,603266,天龙股份
68,300519,新光药业
69,601952,苏垦农发
70,3042,中农联合
71,300317,珈伟新能
72,600127,金健米业
73,600333,长春燃气
74,600113,浙江东日
75,600547,山东黄金
76,600243,青海华鼎
77,603318,水发燃气
78,300589,江龙船艇
79,2554,惠博普
80,600988,赤峰黄金
81,2265,西仪股份
82,300527,中船应急
83,603027,千禾味业
84,300943,春晖智控
85,300719,安达维尔
86,603767,中马传动
87,832566,梓橦宫
88,601606,长城军工
89,603045,福达合金
90,2309,中利集团
91,633,合金投资
92,2377,国创高新
93,2237,恒邦股份
94,300539,横河精密
95,603353,和顺石油
96,300260,新莱应材
97,893,亚钾国际
98,300314,戴维医疗
99,2992,宝明科技
100,970,中科三环
101,603887,城地香江
102,2490,山东墨龙
103,2577,雷柏科技
104,300149,睿智医药
105,600316,洪都航空
106,603727,博迈科
107,603169,兰石重装
108,300446,*ST乐材
109,605333,沪光股份
110,859,国风新材
111,975,银泰黄金
112,688071,华依科技
113,3003,天元股份
114,603906,龙蟠科技
115,3009,中天火箭
116,600903,贵州燃气
117,2150,通润装备
118,600343,航天动力
119,600435,北方导航
120,688516,奥特维
121,2943,宇晶股份
122,600734,*ST实达
123,852,石化机械
124,835,*ST长动
125,300985,致远新能
126,2323,*ST雅博
127,2971,和远气体
128,2151,北斗星通
129,600695,*ST绿庭
130,600078,*ST澄星
131,2767,先锋电子
132,587,*ST金洲
133,687,*ST华讯
134,600764,中国海防
135,600856,*ST中天
136,600256,广汇能源
137,688686,奥普特
138,300945,曼卡龙
139,585,*ST东电
140,603121,华培动力
141,600083,*ST博信
142,600777,新潮能源
143,300809,华辰装备
144,603078,江化微
145,688268,华特气体
146,603322,ST超讯
147,600339,中油工程
148,300900,广联航空
149,600598,北大荒
150,2101,广东鸿图
151,603128,华贸物流
152,603017,中衡设计
153,2534,西子洁能
154,603213,镇洋发展
155,2545,东方铁塔
156,600112,*ST天成
157,300139,晓程科技
158,600091,*ST明科
159,3038,鑫铂股份
160,300497,富祥药业
161,300965,恒宇信通
162,601857,中国石油
163,300414,中光防雷
164,2413,雷科防务
165,600871,石化油服
166,300330,华虹计通
167,688011,新光光电
168,300839,博汇股份
169,807,云铝股份
170,600760,中航沈飞
171,301129,瑞纳智能
172,300946,恒而达
173,301091,深城交
174,688367,工大高科
175,600685,中船防务
176,603558,健盛集团
177,603918,金桥信息
178,506,中润资源
179,300274,阳光电源
180,519,中兵红箭
181,2996,顺博合金
182,603679,华体科技
183,159,国际实业
184,300724,捷佳伟创
185,300557,理工光科
186,2353,杰瑞股份
187,603185,上机数控
188,688599,天合光能
189,300810,中科海讯
190,300600,国瑞科技
191,300751,迈为股份
192,300181,佐力药业
193,2557,洽洽食品
194,300474,景嘉微
195,1205,盛航股份
196,600202,哈空调
197,300101,振芯科技
198,600148,长春一东
199,300026,红日药业
200,300545,联得装备
201,96,广聚能源
202,2977,天箭科技
203,3022,联泓新科
204,19,深粮控股
205,300746,汉嘉设计
206,875,吉电股份
207,300435,中泰股份
208,300629,新劲刚
209,300163,先锋新材
210,688355,明志科技
211,600671,ST目药
212,600807,济南高新
213,688272,富吉瑞
214,300424,航新科技
215,301050,雷电微力
216,603,盛达资源
217,300395,菲利华
218,603056,德邦股份
219,601020,ST华钰
220,300402,宝色股份
221,2489,浙江永强
222,300472,新元科技
223,600769,祥龙电业
224,2267,陕天然气
225,2976,瑞玛精密
226,600688,上海石化
227,713,丰乐种业
228,600876,洛阳玻璃
229,600749,西藏旅游
230,600141,兴发集团
231,738,航发控制
232,600698,湖南天雁
233,688180,君实生物-U
234,600583,海油工程
235,300609,汇纳科技
236,601212,白银有色
237,2317,众生药业
238,2893,华通热力
239,603387,基蛋生物
240,637,茂化实华
241,300553,集智股份
242,688511,天微电子
243,999,华润三九
244,601019,山东出版
245,605599,菜百股份
246,688151,华强科技
247,600629,华建集团
248,603908,牧高笛
249,600151,航天机电
250,600968,海油发展
251,600521,华海药业
252,688622,禾信仪器
253,688305,科德数控
254,603535,嘉诚国际
255,2860,星帅尔
256,300875,捷强装备
257,601139,深圳燃气
258,600956,新天绿能
259,300873,海晨股份
260,605090,九丰能源
261,300436,广生堂
262,767,晋控电力
263,300516,久之洋
264,603970,中农立华
265,603260,合盛硅业
266,301058,中粮工科
267,603638,艾迪精密
268,2721,金一文化
269,688187,时代电气
270,300175,朗源股份
271,768,中航西飞
272,300123,亚光科技
273,600039,四川路桥
274,600746,江苏索普
275,600351,亚宝药业
276,600118,中国卫星
277,600531,豫光金铅
278,688678,福立旺
279,600212,江泉实业
280,600617,国新能源
281,2617,露笑科技
282,603396,金辰股份
283,603822,嘉澳环保
284,300412,迦南科技
285,603801,志邦家居
286,300034,钢研高纳
287,2248,华东数控
288,2389,航天彩虹
289,688099,晶晨股份
290,2297,博云新材
291,300235,方直科技
292,600540,新赛股份
293,546,金圆股份
294,752,*ST西发
295,605368,蓝天燃气
296,600311,ST荣华
297,2728,特一药业
298,300118,东方日升
299,603080,新疆火炬
300,300332,天壕环境
301,2165,红 宝 丽
302,688196,卓越新能
303,601798,蓝科高新
304,407,胜利股份
305,603076,乐惠国际
306,301111,粤万年青
307,301007,德迈仕
308,300053,欧比特
309,300588,熙菱信息
310,603568,伟明环保
311,2942,新农股份
312,300276,三丰智能
313,603650,彤程新材
314,600862,中航高科
315,600681,百川能源
316,600612,老凤祥
317,300087,荃银高科
318,603335,迪生力
319,600577,精达股份
320,600917,重庆燃气
321,300847,中船汉光
322,300971,博亚精工
323,300341,麦克奥迪
324,603105,芯能科技
325,300233,金城医药
326,603806,福斯特
327,2610,爱康科技
328,688617,惠泰医疗
329,603577,汇金通
330,600145,*ST新亿
331,300647,超频三
332,600884,杉杉股份
333,603351,威尔药业
334,600490,鹏欣资源
335,2325,洪涛股份
336,601799,星宇股份
337,300161,华中数控
338,985,大庆华科
339,600879,航天电子
340,2986,宇新股份
341,300138,晨光生物
342,791,甘肃电投
343,600391,航发科技
344,300171,东富龙
345,688685,迈信林
346,300275,梅安森
347,2278,神开股份
348,688223,晶科能源
349,816,智慧农业
350,505,京粮控股
351,688136,科兴制药
352,2270,华明装备
353,605016,百龙创园
354,300500,启迪设计
355,300855,图南股份
356,2682,龙洲股份
357,2778,中晟高科
358,601600,中国铝业
359,2188,*ST巴士
360,2532,天山铝业
361,600893,航发动力
362,600251,冠农股份
363,600188,兖矿能源
364,2574,明牌珠宝
365,603689,皖天然气
366,301099,雅创电子
367,534,万泽股份
368,603238,诺邦股份
369,603690,至纯科技
370,688062,迈威生物-U
371,2459,晶澳科技
372,688081,兴图新科
373,2838,道恩股份
374,547,航天发展
375,603726,朗迪集团
376,2639,雪人股份
377,2625,光启技术
378,301020,密封科技
379,600072,中船科技
380,300692,中环环保
381,688301,奕瑞科技
382,2049,紫光国微
383,300593,新雷能
384,688800,瑞可达
385,600371,万向德农
386,2499,*ST科林
387,600026,中远海能
388,601890,亚星锚链
389,603036,如通股份
390,600267,海正药业
391,2684,*ST猛狮
392,600372,中航电子
393,300666,江丰电子
394,603063,禾望电气
395,601698,中国卫通
396,600184,光电股份
397,2338,奥普光电
398,601012,隆基股份
399,300769,德方纳米
400,300630,普利制药
401,300407,凯发电气
402,2132,恒星科技
403,688680,海优新材
404,688189,南新制药
405,600520,文一科技
406,600190,锦州港
407,688239,航宇科技
408,600976,健民集团
409,688116,天奈科技
410,300808,久量股份
411,600028,中国石化
412,300471,厚普股份
413,576,甘化科工
414,600385,*ST金泰
415,688733,壹石通
416,2041,登海种业
417,600510,黑牡丹
418,603127,昭衍新药
419,603297,永新光学
420,300633,开立医疗
421,603519,立霸股份
422,603305,旭升股份
423,600460,士兰微
424,593,德龙汇能
425,300518,盛讯达
426,300984,金沃股份
427,600459,贵研铂业
428,2606,大连电瓷
429,600766,*ST园城
430,930,中粮科技
431,2759,天际股份
432,2190,成飞集成
433,300490,华自科技
434,2175,*ST东网
435,2232,启明信息
436,688799,华纳药厂
437,603706,东方环宇
438,688023,安恒信息
439,600768,宁波富邦
440,300179,四方达
441,600596,新安股份
442,661,长春高新
443,300415,伊之密
444,503,国新健康
445,600966,博汇纸业
446,688385,复旦微电
447,600150,中国船舶
448,605186,健麾信息
449,600192,长城电工
450,300733,西菱动力
451,605358,立昂微
452,603868,飞科电器
453,803,北清环能
454,601865,福莱特
455,605208,永茂泰
456,603032,*ST德新
457,2749,国光股份
458,1896,豫能控股
459,600482,中国动力
460,2735,王子新材
461,600313,农发种业
462,600405,动力源
463,300325,*ST德威
464,300829,金丹科技
465,301108,洁雅股份
466,2821,凯莱英
467,300486,东杰智能
468,300540,深冷股份
469,591,太阳能
470,818,航锦科技
471,688390,固德威
472,561,烽火电子
473,600967,内蒙一机
474,300488,恒锋工具
475,993,闽东电力
476,2149,西部材料
477,301071,力量钻石
478,600378,昊华科技
479,2849,威星智能
480,688032,禾迈股份
481,603628,清源股份
482,697,炼石航空
483,933,神火股份
484,600038,中直股份
485,300862,蓝盾光电
486,605111,新洁能
487,300111,向日葵
488,300343,联创股份
489,600090,*ST济堂
490,688303,大全能源
491,2709,天赐材料
492,600855,航天长峰
493,2603,以岭药业
494,688636,智明达
495,600285,羚锐制药
496,600865,百大集团
497,301206,三元生物
498,300048,合康新能
499,688059,华锐精密
500,600108,亚盛集团
501,2179,中航光电
502,688267,中触媒
503,300117,嘉寓股份
504,603800,道森股份
505,300114,中航电测
506,2112,三变科技
507,301068,大地海洋
508,600392,盛和资源
509,2731,萃华珠宝
510,2857,三晖电气
511,600354,敦煌种业
512,603053,成都燃气
513,688670,金迪克
514,300210,森远股份
515,605008,长鸿高科
516,669,ST金鸿
517,600847,万里股份
518,2897,意华股份
519,600021,上海电力
520,600962,国投中鲁
521,601989,中国重工
522,601899,紫金矿业
523,600298,安琪酵母
524,300093,金刚玻璃
525,600555,*ST海创
526,688049,炬芯科技-U
527,2966,苏州银行
528,2050,三花智控
529,2221,东华能源
530,2799,环球印务
531,600857,宁波中百
532,603982,泉峰汽车
533,688105,诺唯赞
534,2890,弘宇股份
535,600366,宁波韵升
536,998,隆平高科
537,300068,南都电源
538,603978,深圳新星
539,600501,航天晨光
540,300748,金力永磁
541,2160,常铝股份
542,301031,中熔电气
543,2715,登云股份
544,2564,天沃科技
545,688037,芯源微
546,861,海印股份
547,603003,龙宇燃油
548,300765,新诺威
549,601179,中国西电
550,300335,迪森股份
551,605377,华旺科技
552,603811,诚意药业
553,600895,张江高科
554,600419,天润乳业
555,603618,杭电股份
556,603839,安正时尚
557,300928,华安鑫创
558,301073,君亭酒店
559,300696,爱乐达
560,837,秦川机床
561,3021,兆威机电
562,2484,江海股份
563,836433,大唐药业
564,960,锡业股份
565,300534,陇神戎发
566,2404,嘉欣丝绸
567,600379,宝光股份
568,300035,中科电气
569,600655,豫园股份
570,300249,依米康
571,688520,神州细胞-U
572,2214,大立科技
573,2189,中光学
574,300228,富瑞特装
575,688737,中自科技
576,2046,国机精工
577,600479,千金药业
578,603858,步长制药
579,601388,怡球资源
580,603439,贵州三力
581,2203,海亮股份
582,2733,雄韬股份
583,832089,禾昌聚合
584,600011,华能国际
585,688665,四方光电
586,688070,纵横股份
587,688122,西部超导
588,300795,*ST米奥
589,600601,ST方科
590,300858,科拓生物
591,300535,达威股份
592,601877,正泰电器
593,833266,生物谷
594,603798,康普顿
595,600236,桂冠电力
596,600409,三友化工
597,403,派林生物
598,600765,中航重机
599,2129,中环股份
600,688077,大地熊
601,603326,我乐家居
602,2549,凯美特气
603,688016,心脉医疗
604,300762,上海瀚讯
605,603067,振华股份
606,600771,广誉远
607,300427,红相股份
608,688697,纽威数控
609,300147,香雪制药
610,300313,ST天山
611,688356,键凯科技
612,533,顺钠股份
613,688176,亚虹医药-U
614,2025,航天电器
615,600359,新农开发
616,908,景峰医药
617,688558,国盛智科
618,2485,雪松发展
619,600120,浙江东方
620,600423,柳化股份
621,766,通化金马
622,600219,南山铝业
623,300393,中来股份
624,603755,日辰股份
625,603197,保隆科技
626,2920,德赛西威
627,2935,天奥电子
628,300681,英搏尔
629,2414,高德红外
630,2082,万邦德
631,603311,金海高科
632,601199,江南水务
633,2927,泰永长征
634,2412,汉森制药
635,48,京基智农
636,788,北大医药
637,601882,海天精工
638,688596,正帆科技
639,600562,国睿科技
640,600888,新疆众和
641,2381,双箭股份
642,300707,威唐工业
643,300568,星源材质
644,2284,亚太股份
645,300327,中颖电子
646,600172,黄河旋风
647,300489,光智科技
648,600422,昆药集团
649,605080,浙江自然
650,300049,福瑞股份
651,688008,澜起科技
652,688408,中信博
653,688186,广大特材
654,603883,老百姓
655,688568,中科星图
656,688190,云路股份
657,688788,科思科技
658,833994,翰博高新
659,833874,泰祥股份
660,832317,观典防务
661,688281,华秦科技
662,688260,昀冢科技
663,688175,高凌信息
664,688163,赛伦生物
665,688131,皓元医药
666,688115,思林杰
667,603997,继峰股份
668,603707,健友股份
669,603209,兴通股份
670,603157,*ST拉夏
671,603070,万控智造
672,601558,退市锐电
673,601299,中国北车
674,601268,*ST二重
675,601168,西部矿业
676,600991,广汽长丰
677,600978,*ST宜生
678,600899,*ST信联
679,600891,退市秋林
680,600878,*ST北科
681,600852,*ST中川
682,600849,上药转换
683,600842,中西药业
684,600840,新湖创业
685,600832,东方明珠
686,600813,ST鞍一工
687,600806,退市昆机
688,600800,渤海化学
689,600799,*ST龙科
690,600788,*ST达曼
691,600786,东方锅炉
692,600784,鲁银投资
693,600772,S*ST龙昌
694,600762,S*ST金荔
695,600752,*ST哈慈
696,600747,退市大控
697,600723,首商股份
698,600719,大连热电
699,600709,ST生态
700,600701,退市工新
701,600700,*ST数码
702,600691,阳煤化工
703,600687,退市刚泰
704,600680,*ST上普
705,600677,*ST航通
706,600672,*ST华圣
707,600670,*ST斯达
708,600669,*ST鞍成
709,600659,*ST花雕
710,600656,退市博元
711,600646,ST国嘉
712,600634,退市富控
713,600632,华联商厦
714,600631,百联股份
715,600627,上电股份
716,600625,PT水仙
717,600614,退市鹏起
718,600607,上实医药
719,600591,*ST上航
720,600553,太行水泥
721,600533,栖霞建设
722,600485,*ST信威
723,600472,包头铝业
724,600432,退市吉恩
725,600401,退市海润
726,600357,承德钒钛
727,600335,国机汽车
728,600327,大东方
729,600317,营口港
730,600296,S兰铝
731,600286,S*ST国瓷
732,600270,外运发展
733,600263,路桥建设
734,600253,天方药业
735,600247,*ST成城
736,600240,退市华业
737,600205,S山东铝
738,600181,S*ST云大
739,600175,退市美都
740,600165,新日恒力
741,600102,莱钢股份
742,600092,S*ST精密
743,600087,退市长油
744,600086,退市金钰
745,600074,退市保千
746,600069,退市银鸽
747,600068,葛洲坝
748,600065,*ST联谊
749,600005,武钢股份
750,600003,ST东北高
751,600002,齐鲁石化
752,600001,邯郸钢铁
753,301236,软通动力
754,301222,浙江恒威
755,301218,华是科技
756,301215,中汽股份
757,301200,大族数控
758,301110,青木股份
759,300510,金冠股份
760,300443,金雷股份
761,300431,暴风退
762,300404,博济医药
763,300372,欣泰退
764,300362,天翔退
765,300266,兴源环境
766,300224,正海磁材
767,300216,千山退
768,300186,大华农
769,300177,中海达
770,300156,神雾退
771,300104,乐视退
772,300090,盛运退
773,300028,金亚退
774,2911,佛燃能源
775,2832,比音勒芬
776,2761,浙江建投
777,2711,欧浦退
778,2701,奥瑞金
779,2680,长生退
780,2619,*ST艾格
781,2604,龙力退
782,2592,ST八菱
783,2509,天茂退
784,2477,雏鹰退
785,2465,海格通信
786,2450,康得退
787,2429,兆驰股份
788,2383,合众思壮
789,2359,北讯退
790,2260,*ST德奥
791,2220,天宝退
792,2143,印纪退
793,2089,ST新海
794,2084,海鸥住工
795,2072,*ST凯瑞
796,2071,长城退
797,2070,众和退
798,2069,獐子岛
799,2023,海特高新
800,2018,华信退
801,2016,世荣兆业
802,2003,伟星股份
803,1266,宏英智能
804,981,*ST银亿
805,979,中弘退
806,956,中原油气
807,939,凯迪退
808,916,华北高速
809,866,扬子石化
810,832,*ST龙涤
811,827,*ST长兴
812,817,辽河油田
813,805,*ST炎黄
814,787,*ST创智
815,780,ST平能
816,769,*ST大菲
817,765,*ST华信
818,763,锦州石化
819,760,斯太退
820,748,长城信息
821,730,*ST环保
822,722,湖南发展
823,699,S*ST佳纸
824,693,华泽退
825,689,ST宏业
826,675,ST银山
827,670,*ST盈方
828,662,天夏退
829,660,*ST南华
830,658,ST海洋
831,653,ST九州
832,630,铜陵有色
833,621,*ST比特
834,618,吉林化工
835,605,渤海股份
836,602,金马集团
837,594,国恒退
838,588,PT粤金曼
839,583,S*ST托普
840,578,盐湖集团
841,569,长城股份
842,562,宏源证券
843,556,PT南洋
844,549,S湘火炬
845,542,TCL通讯
846,535,*ST猴王
847,527,美的电器
848,522,白云山A
849,515,攀渝钛业
850,511,烯碳退
851,508,琼民源A
852,418,小天鹅A
853,412,ST五环
854,406,石油大明
855,405,ST鑫光
856,47,ST中侨
857,33,新都退
858,24,招商地产
859,18,神城A退
860,15,PT中浩A
861,13,*ST石化A
862,3,PT金田A
863,300316,晶盛机电
864,300866,安克创新
865,301193,家联科技
866,601088,中国神华
867,300041,回天新材
868,688682,霍莱沃
869,300573,兴齐眼药
870,603392,万泰生物
871,300709,精研科技
872,2556,辉隆股份
873,2812,恩捷股份
874,2637,赞宇科技
875,688179,阿拉丁
876,688157,松井股份
877,603399,吉翔股份
878,600211,西藏药业
879,600080,金花股份
880,603290,斯达半导
881,688005,容百科技
882,963,华东医药
883,603939,益丰药房
884,601958,金钼股份
885,300778,新城市
886,600098,广州发展
887,600129,太极集团
888,600318,新力金融
889,600803,新奥股份
890,2817,黄山胶囊
891,603520,司太立
892,300671,富满微
893,3031,中瓷电子
894,688086,紫晶存储
895,502,*ST绿景
896,603733,仙鹤股份
897,958,东方能源
898,2476,宝莫股份
899,603717,天域生态
900,600745,闻泰科技
901,605166,聚合顺
902,2371,北方华创
903,2028,思源电气
904,688556,高测股份
905,1979,招商蛇口
906,603066,音飞储存
907,300189,神农科技
908,600985,淮北矿业
909,12,南  玻Ａ
910,300426,唐德影视
911,2884,凌霄泵业
912,601028,玉龙股份
913,300726,宏达电子
914,2700,ST浩源
915,663,永安林业
916,600732,爱旭股份
917,600213,亚星客车
918,601225,陕西煤业
919,2829,星网宇达
920,688002,睿创微纳
921,688660,电气风电
922,2119,康强电子
923,300554,三超新材
924,300452,山河药辅
925,2102,ST冠福
926,601366,利群股份
927,688296,和达科技
928,688508,芯朋微
929,300759,康龙化成
930,600811,东方集团
931,603662,柯力传感
932,603129,春风动力
933,300447,全信股份
934,2034,旺能环境
935,600563,法拉电子
936,688722,同益中
937,300450,先导智能
938,300208,青岛中程
939,300727,润禾材料
940,603955,大千生态
941,688396,华润微
942,600085,同仁堂
943,300919,中伟股份
944,688707,振华新材-U
945,301076,新瀚新材
946,600486,扬农化工
947,2364,中恒电气
948,688217,睿昂基因
949,600754,锦江酒店
950,300717,华信新材
951,600590,泰豪科技
952,420,吉林化纤
953,2402,和而泰
954,2575,*ST群兴
955,603786,科博达
956,2984,森麒麟
957,688786,悦安新材
958,300661,圣邦股份
959,2930,宏川智慧
960,7,*ST全新
961,603896,寿仙谷
962,2448,中原内配
963,2747,埃斯顿
964,603223,恒通股份
965,2867,周大生
966,2850,科达利
967,600535,天士力
968,688067,爱威科技
969,300775,三角防务
970,2656,ST摩登
971,600363,联创光电
972,603590,康辰药业
973,600456,宝钛股份
974,300243,瑞丰高材
975,300690,双一科技
976,688270,臻镭科技
977,300347,泰格医药
978,300596,利安隆
979,2506,协鑫集成
980,300811,铂科新材
981,2756,永兴材料
982,600029,南方航空
983,605011,杭州热电
984,601898,中煤能源
985,300033,同花顺
986,300124,汇川技术
987,603315,福鞍股份
988,733,振华科技
989,513,丽珠集团
990,300409,道氏技术
991,826,启迪环境
992,600287,江苏舜天
993,601838,成都银行
994,600900,长江电力
995,300252,金信诺
996,603995,甬金股份
997,605162,新中港
998,601001,晋控煤业
999,2533,金杯电工
1000,2167,东方锆业
1001,600566,济川药业
1002,688097,博众精工
1003,300470,中密控股
1004,601872,招商轮船
1005,603177,德创环保
1006,2597,金禾实业
1007,2118,紫鑫药业
1008,2287,奇正藏药
1009,603332,苏州龙杰
1010,600048,保利发展
1011,688257,新锐股份
1012,600483,福能股份
1013,688191,智洋创新
1014,600761,安徽合力
1015,2483,润邦股份
1016,488,晨鸣纸业
1017,300796,贝斯美
1018,301130,C西点
1019,601016,节能风电
1020,300425,中建环能
1021,300763,锦浪科技
1022,2258,利尔化学
1023,603031,安德利
1024,2375,亚厦股份
1025,2746,仙坛股份
1026,301003,江苏博云
1027,300319,麦捷科技
